Ride ID,Driver Name,Driver Safety,Overall Behaviour,Timeliness,Vehicle Condition,Additional Comments
R001,A,3,2,3,1,Would not recommend this driver.
R002,B,3,3,4,4,Driver was polite and professional.
R003,A,4,1,1,2,Vehicle was clean and well-maintained.
R004,A,1,2,1,3,Arrived late but drove safely.
R005,A,3,5,1,5,This is very good.
R006,A,4,2,3,4,Excellent service overall.
R007,B,3,4,4,1,Timeliness needs improvement.
R008,B,4,3,5,5,Would not recommend this driver.
R009,A,5,3,2,3,Average experience.
R010,B,2,3,1,2,Excellent service overall.
R011,A,3,3,5,1,Driver was polite and professional.
R012,A,1,5,5,4,Very punctual and courteous.
R013,A,4,3,4,5,Driver was polite and professional.
R014,B,5,4,5,3,Very punctual and courteous.
R015,A,2,4,4,2,Very punctual and courteous.
R016,A,1,1,3,1,Would not recommend this driver.
R017,B,3,3,5,2,Very punctual and courteous.
R018,A,2,1,2,5,Vehicle was clean and well-maintained.
R019,A,3,2,2,5,Arrived late but drove safely.
R020,B,5,2,3,1,Timeliness needs improvement.
R021,A,4,1,4,5,Vehicle was clean and well-maintained.
R022,A,5,1,3,3,Arrived late but drove safely.
R023,B,5,3,1,3,Timeliness needs improvement.
R024,B,1,3,3,1,Vehicle was clean and well-maintained.
R025,A,2,5,2,4,Would not recommend this driver.
R026,B,4,5,5,3,Excellent service overall.
R027,B,2,2,4,2,Driver was polite and professional.
R028,B,1,1,1,4,Would not recommend this driver.
R029,B,2,5,2,2,Driver was polite and professional.
R030,A,3,5,1,5,Vehicle was clean and well-maintained.
R031,B,4,4,3,4,This is very good.
R032,B,2,4,1,2,Excellent service overall.
R033,B,3,1,4,4,Driver was polite and professional.
R034,B,5,5,2,2,Would not recommend this driver.
R035,A,4,3,1,2,This is very good.
R036,B,4,2,2,5,Arrived late but drove safely.
R037,A,2,2,1,4,Arrived late but drove safely.
R038,A,1,3,5,1,Driver was polite and professional.
R039,A,1,1,5,2,Timeliness needs improvement.
R040,B,4,3,4,4,Would not recommend this driver.
R041,B,1,5,2,5,Excellent service overall.
R042,B,5,3,3,2,Would not recommend this driver.
R043,A,1,5,5,2,This is very good.
R044,B,5,4,5,5,Vehicle was clean and well-maintained.
R045,A,2,4,5,5,Arrived late but drove safely.
R046,B,1,4,1,5,This is very good.
R047,B,2,3,2,1,This is very good.
R048,B,2,4,2,5,Vehicle was clean and well-maintained.
R049,A,3,3,2,5,This is very good.
R050,A,5,1,1,3,Excellent service overall.
R051,A,1,4,5,3,Driver was polite and professional.
R052,A,1,1,2,1,Driver was polite and professional.
R053,B,5,5,2,5,This is very good.
R054,A,5,3,3,3,Vehicle was clean and well-maintained.
R055,B,2,4,5,1,Average experience.
R056,A,1,1,5,3,Very punctual and courteous.
R057,B,4,4,2,4,This is very good.
R058,B,1,5,4,2,Average experience.
R059,A,3,5,3,4,Excellent service overall.
R060,B,4,2,4,4,Vehicle was clean and well-maintained.
R061,A,4,5,5,3,Excellent service overall.
R062,A,2,2,1,2,Average experience.
R063,B,4,2,4,3,Excellent service overall.
R064,A,5,1,1,4,This is very good.
R065,A,2,1,2,1,This is very good.
R066,A,2,5,5,2,Average experience.
R067,A,4,2,4,5,This is very good.
R068,B,3,2,2,3,This is very good.
R069,A,2,2,1,5,This is very good.
R070,A,3,5,3,1,Would not recommend this driver.
R071,A,2,4,1,5,Timeliness needs improvement.
R072,A,2,3,2,2,Timeliness needs improvement.
R073,A,2,3,2,2,This is very good.
R074,B,1,3,2,4,Timeliness needs improvement.
R075,A,5,2,5,3,Average experience.
R076,B,2,3,5,4,Average experience.
R077,A,1,5,2,3,This is very good.
R078,A,4,5,2,3,Would not recommend this driver.
R079,B,5,3,2,1,Timeliness needs improvement.
R080,A,2,1,1,4,Timeliness needs improvement.
R081,A,4,3,4,4,Timeliness needs improvement.
R082,A,4,1,3,1,Timeliness needs improvement.
R083,B,5,3,4,3,Average experience.
R084,A,1,1,5,2,This is very good.
R085,B,2,4,5,4,Excellent service overall.
R086,B,5,5,3,1,Very punctual and courteous.
R087,A,5,4,4,1,Arrived late but drove safely.
R088,B,1,1,3,5,Average experience.
R089,A,5,2,4,2,Timeliness needs improvement.
R090,A,3,5,3,2,Timeliness needs improvement.
R091,B,3,4,1,2,This is very good.
R092,B,3,3,2,4,Would not recommend this driver.
R093,A,1,1,3,5,Excellent service overall.
R094,B,2,5,1,1,Timeliness needs improvement.
R095,A,5,2,2,4,Average experience.
R096,B,1,5,3,4,Very punctual and courteous.
R097,B,3,4,1,5,Excellent service overall.
R098,B,5,1,4,4,Average experience.
R099,B,3,5,5,3,Vehicle was clean and well-maintained.
R100,B,4,1,2,3,Vehicle was clean and well-maintained.
